"attivita","telefono","indirizzo","categoria","sito","scenario","problema","email","canale"
"Al20!","+39 0131 1851293","Via Massobrio Ennio, 20","ristoranti","http://www.al20.town","sito_down","Il dominio non risolve piu': digitando l'indirizzo il browser dice che il sito non esiste","","WhatsApp / visita in negozio"
"Associazione Nuova Boccia","+39 0131 261272","Lungo Tanaro San Martino, 2","ristoranti","http://www.laboccia.it","sito_down","Il dominio non risolve piu': digitando l'indirizzo il browser dice che il sito non esiste","","WhatsApp / visita in negozio"
"Expo Pizza","+39 0131 252045","Via Milano, 9","pizzerie","http://www.pizzocentroalessandria.it/","sito_down","Il dominio non risolve piu': digitando l'indirizzo il browser dice che il sito non esiste","","WhatsApp / visita in negozio"
"Hair'S Center","+39 0131 252371","Via Testore Luigi, 34","parrucchieri","https://www.hairscenter.it","sito_down","Il dominio non risolve piu': digitando l'indirizzo il browser dice che il sito non esiste","","WhatsApp / visita in negozio"
"Pizzeria Ristorante Piazza Maino","+39 0131 264333","Via Galilei Galileo, 91","ristoranti","https://www.pizzeriaristorantepiazzamaino.it","sito_down","Il dominio non risolve piu': digitando l'indirizzo il browser dice che il sito non esiste","","WhatsApp / visita in negozio"
"Ambra","+39 0131 264802","Via Brigata Ravenna, 8","pizzerie","https://www.facebook.com/BarRistorantePizzeriaAmbra","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/BarRistorantePizzeriaAmbra","","WhatsApp / visita in negozio"
"Angela del Medico Acconciature","+39 0131 40607","Via Giuseppe Antonio Chenna, 25","parrucchieri","https://www.facebook.com/profile.php?id=100063512413357","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/profile.php?id=100063512413357","","WhatsApp / visita in negozio"
"Art Hair","+39 0131 227060","Via Sclavo Achille, 15","parrucchieri","https://www.facebook.com/arthairsas","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/arthairsas","","WhatsApp / visita in negozio"
"Bar dal Cicon","+39 0131 388509","Via Piacenza, 23","ristoranti","https://www.facebook.com/Bar-Dal-Cicon-411984092195130/","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/Bar-Dal-Cicon-411984092195130/","","WhatsApp / visita in negozio"
"Bel'Ombra","+39 0131 267130","Via Andrea Vochieri, 138","ristoranti","https://www.facebook.com/OsteriaBelOmbra","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/OsteriaBelOmbra","","WhatsApp / visita in negozio"
"Bio Cafe","+39 0131 262932","Via Dell' Erba, 12","ristoranti","https://www.facebook.com/Biocafealessandria","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/Biocafealessandria","","WhatsApp / visita in negozio"
"Caffè degli Artisti","+39 0131 040040","Via Vochieri Andrea, 7","ristoranti","http://www.facebook.com/civediamoalcaffe.alessandria","senza_sito","Come sito e' indicata solo una pagina social: http://www.facebook.com/civediamoalcaffe.alessandria","","WhatsApp / visita in negozio"
"Doll 82 Alessandria","+39 0131 250485","Via San Giacomo della Vittoria, 68","parrucchieri","https://www.facebook.com/Dollottantadue","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/Dollottantadue","","WhatsApp / visita in negozio"
"Ever Sun Beauty","+39 0131 480208","Via Vochieri Andrea, 50","estetiste","https://www.facebook.com/eversunbeautyclub","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/eversunbeautyclub","","WhatsApp / visita in negozio"
"I Rando Acconciatori","+39 0131 236289","Corso Venti Settembre, 32","parrucchieri","https://www.facebook.com/profile.php?id=100057491078036","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/profile.php?id=100057491078036","","WhatsApp / visita in negozio"
"I Tre Più","+39 0131 56355","Corso Roma, 140","parrucchieri","https://www.facebook.com/p/I-Tre-Piu-Parrucchieri-per-Signora-100054583114832/?locale=it_IT","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/p/I-Tre-Piu-Parrucchieri-per-Signora-100054583114832/?locale=it_IT","","WhatsApp / visita in negozio"
"Il Borsalino","+39 0131 254276","Via Massobrio Ennio, 38","pizzerie","https://www.facebook.com/Circoloborsalino/","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/Circoloborsalino/","","WhatsApp / visita in negozio"
"Il Vicoletto","+39 0131 261578","Via Cremona, 1","ristoranti","http://www.facebook.com/pages/Il-Vicoletto/1946964865592980","senza_sito","Come sito e' indicata solo una pagina social: http://www.facebook.com/pages/Il-Vicoletto/1946964865592980","","WhatsApp / visita in negozio"
"Mujer","+39 0131 261397","Via Savona, 14","parrucchieri","https://www.facebook.com/mujeracconciature","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/mujeracconciature","","WhatsApp / visita in negozio"
"Osteria della Luna in Brodo","+39 0131 231898","Via Legnano, 12","ristoranti","https://www.facebook.com/p/Osteria-della-Luna-in-Brodo-100063748082094","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/p/Osteria-della-Luna-in-Brodo-100063748082094","","WhatsApp / visita in negozio"
"Pizzo","+39 0131 343362","Corso Marx Carlo, 124","ristoranti","https://www.facebook.com/pizzoalessandria","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/pizzoalessandria","","WhatsApp / visita in negozio"
"Raffaella Ponzano","+39 0131 236447","Via Cavour Camillo Benso, 64/C","parrucchieri","https://www.facebook.com/ponzano.raffaella","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/ponzano.raffaella","","WhatsApp / visita in negozio"
"Rossella Hair Styling Salon","+39 0131 55764","Corso Teresio Borsalino, 6","parrucchieri","https://www.facebook.com/Rossella-Hair-Styling-Salon-1059464627462132","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/Rossella-Hair-Styling-Salon-1059464627462132","","WhatsApp / visita in negozio"
"Salon De Coiffure Gliex","+39 0131 254417","Via Milano, 68","parrucchieri","https://www.facebook.com/p/Acconciature-gli-ex-100054508387736","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/p/Acconciature-gli-ex-100054508387736","","WhatsApp / visita in negozio"
"Vesuvio","+39 0131 1950283","Via Vochieri Andrea, 63","pizzerie","https://www.facebook.com/PizzeriaVesuvioAlessandria","senza_sito","Come sito e' indicata solo una pagina social: https://www.facebook.com/PizzeriaVesuvioAlessandria","","WhatsApp / visita in negozio"
"Carmen Donato Compagnia della Bellezza","+39 0131 1851064","Via Milazzo, 35","parrucchieri","https://www.compagniadellabellezza.com","sito_lento_mobile","Il sito non ha le impostazioni per il telefono: da mobile la pagina esce fuori dallo schermo e bisogna zoomare per leggere","","WhatsApp / visita in negozio"
"Centogrigio Sport Village","+39 0131 345227","Via Bonardi Edoardo, 25","pizzerie","https://centogrigio.it","sito_lento_mobile","Il sito non ha le impostazioni per il telefono: da mobile la pagina esce fuori dallo schermo e bisogna zoomare per leggere","","WhatsApp / visita in negozio"
